DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(mA),Voltage(V),Capacity(mAh),Spec. Cap.(mAh/g),Chg. Cap.(mAh),Chg. Spec. Cap.(mAh/g),DChg. Cap.(mAh),DChg. Spec. Cap.(mAh/g),Energy(mWh),Spec. Energy(mWh/g),Chg. Energy(mWh),Chg. Spec. Energy(mWh/g),DChg. Energy(mWh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mO),Module start-stop switch
1,1,1,Rest,00:00:00,00:00:00,0.0000,2.1495,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:41:57,0.0000000,0.0000,0.0000,0,Close
2,1,1,Rest,00:00:30,00:00:30,0.0000,2.1493,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:42:26,0.0000000,0.0000,0.0000,0,Close
3,1,1,Rest,00:01:00,00:01:00,0.0000,2.1492,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:42:56,0.0000000,0.0000,0.0000,0,Close
4,1,1,Rest,00:01:30,00:01:30,0.0000,2.1490,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:43:26,0.0000000,0.0000,0.0000,0,Close
5,1,1,Rest,00:02:00,00:02:00,0.0000,2.1489,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:43:56,0.0000000,0.0000,0.0000,0,Close
6,1,1,Rest,00:02:30,00:02:30,0.0000,2.1488,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:44:26,0.0000000,0.0000,0.0000,0,Close
7,1,1,Rest,00:03:00,00:03:00,0.0000,2.1487,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:44:56,0.0000000,0.0000,0.0000,0,Close
8,1,1,Rest,00:03:30,00:03:30,0.0000,2.1487,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:45:26,0.0000000,0.0000,0.0000,0,Close
9,1,1,Rest,00:04:00,00:04:00,0.0000,2.1486,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:45:56,0.0000000,0.0000,0.0000,0,Close
10,1,1,Rest,00:04:30,00:04:30,0.0000,2.1485,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:46:26,0.0000000,0.0000,0.0000,0,Close
11,1,1,Rest,00:05:00,00:05:00,0.0000,2.1483,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:46:56,0.0000000,0.0000,0.0000,0,Close
12,1,1,Rest,00:05:30,00:05:30,0.0000,2.1483,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:47:26,0.0000000,0.0000,0.0000,0,Close
13,1,1,Rest,00:06:00,00:06:00,0.0000,2.1482,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:47:56,0.0000000,0.0000,0.0000,0,Close
14,1,1,Rest,00:06:30,00:06:30,0.0000,2.1482,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:48:26,0.0000000,0.0000,0.0000,0,Close
15,1,1,Rest,00:07:00,00:07:00,0.0000,2.1482,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:48:56,0.0000000,0.0000,0.0000,0,Close
16,1,1,Rest,00:07:30,00:07:30,0.0000,2.1481,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:49:26,0.0000000,0.0000,0.0000,0,Close
17,1,1,Rest,00:08:00,00:08:00,0.0000,2.1480,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:49:56,0.0000000,0.0000,0.0000,0,Close
18,1,1,Rest,00:08:30,00:08:30,0.0000,2.1478,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:50:26,0.0000000,0.0000,0.0000,0,Close
19,1,1,Rest,00:09:00,00:09:00,0.0000,2.1478,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:50:56,0.0000000,0.0000,0.0000,0,Close
20,1,1,Rest,00:09:30,00:09:30,0.0000,2.1477,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:51:26,0.0000000,0.0000,0.0000,0,Close
21,1,1,Rest,00:10:00,00:10:00,0.0000,2.1476,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:51:56,0.0000000,0.0000,0.0000,0,Close
22,1,1,Rest,00:10:30,00:10:30,0.0000,2.1475,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:52:26,0.0000000,0.0000,0.0000,0,Close
