DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(mA),Voltage(V),Capacity(mAh),Spec. Cap.(mAh/g),Chg. Cap.(mAh),Chg. Spec. Cap.(mAh/g),DChg. Cap.(mAh),DChg. Spec. Cap.(mAh/g),Energy(mWh),Spec. Energy(mWh/g),Chg. Energy(mWh),Chg. Spec. Energy(mWh/g),DChg. Energy(mWh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mO),Module start-stop switch
1,1,1,Rest,00:00:00,00:00:00,0.0000,2.2497,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:25:59,0.0000000,0.0000,0.0000,0,Close
2,1,1,Rest,00:00:30,00:00:30,0.0000,2.2498,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:26:29,0.0000000,0.0000,0.0000,0,Close
3,1,1,Rest,00:01:00,00:01:00,0.0000,2.2499,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:26:59,0.0000000,0.0000,0.0000,0,Close
4,1,1,Rest,00:01:30,00:01:30,0.0000,2.2499,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:27:29,0.0000000,0.0000,0.0000,0,Close
5,1,1,Rest,00:02:00,00:02:00,0.0000,2.2499,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:27:59,0.0000000,0.0000,0.0000,0,Close
6,1,1,Rest,00:02:30,00:02:30,0.0000,2.2499,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:28:29,0.0000000,0.0000,0.0000,0,Close
7,1,1,Rest,00:03:00,00:03:00,0.0000,2.2499,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:28:59,0.0000000,0.0000,0.0000,0,Close
8,1,1,Rest,00:03:30,00:03:30,0.0000,2.2499,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:29:29,0.0000000,0.0000,0.0000,0,Close
9,1,1,Rest,00:04:00,00:04:00,0.0000,2.2500,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:29:59,0.0000000,0.0000,0.0000,0,Close
10,1,1,Rest,00:04:30,00:04:30,0.0000,2.2500,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:30:29,0.0000000,0.0000,0.0000,0,Close
11,1,1,Rest,00:05:00,00:05:00,0.0000,2.2500,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:30:59,0.0000000,0.0000,0.0000,0,Close
12,1,1,Rest,00:05:30,00:05:30,0.0000,2.2501,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:31:29,0.0000000,0.0000,0.0000,0,Close
13,1,1,Rest,00:06:00,00:06:00,0.0000,2.2501,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:31:59,0.0000000,0.0000,0.0000,0,Close
14,1,1,Rest,00:06:30,00:06:30,0.0000,2.2501,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:32:29,0.0000000,0.0000,0.0000,0,Close
15,1,1,Rest,00:07:00,00:07:00,0.0000,2.2501,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:32:59,0.0000000,0.0000,0.0000,0,Close
16,1,1,Rest,00:07:30,00:07:30,0.0000,2.2502,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:33:29,0.0000000,0.0000,0.0000,0,Close
17,1,1,Rest,00:08:00,00:08:00,0.0000,2.2502,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:33:59,0.0000000,0.0000,0.0000,0,Close
18,1,1,Rest,00:08:30,00:08:30,0.0000,2.2502,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:34:29,0.0000000,0.0000,0.0000,0,Close
19,1,1,Rest,00:09:00,00:09:00,0.0000,2.2503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:34:59,0.0000000,0.0000,0.0000,0,Close
20,1,1,Rest,00:09:30,00:09:30,0.0000,2.2502,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:35:29,0.0000000,0.0000,0.0000,0,Close
21,1,1,Rest,00:10:00,00:10:00,0.0000,2.2503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:35:59,0.0000000,0.0000,0.0000,0,Close
22,1,1,Rest,00:10:30,00:10:30,0.0000,2.2503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:36:29,0.0000000,0.0000,0.0000,0,Close
23,1,1,Rest,00:11:00,00:11:00,0.0000,2.2503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:36:59,0.0000000,0.0000,0.0000,0,Close
24,1,1,Rest,00:11:30,00:11:30,0.0000,2.2503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:37:29,0.0000000,0.0000,0.0000,0,Close
25,1,1,Rest,00:12:00,00:12:00,0.0000,2.2503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:37:59,0.0000000,0.0000,0.0000,0,Close
26,1,1,Rest,00:12:30,00:12:30,0.0000,2.2503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:38:29,0.0000000,0.0000,0.0000,0,Close
27,1,1,Rest,00:13:00,00:13:00,0.0000,2.2505,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:38:59,0.0000000,0.0000,0.0000,0,Close
28,1,1,Rest,00:13:30,00:13:30,0.0000,2.2504,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:39:29,0.0000000,0.0000,0.0000,0,Close
29,1,1,Rest,00:14:00,00:14:00,0.0000,2.2504,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:39:59,0.0000000,0.0000,0.0000,0,Close
30,1,1,Rest,00:14:30,00:14:30,0.0000,2.2504,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:40:29,0.0000000,0.0000,0.0000,0,Close
31,1,1,Rest,00:15:00,00:15:00,0.0000,2.2505,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:40:59,0.0000000,0.0000,0.0000,0,Close
32,1,1,Rest,00:15:30,00:15:30,0.0000,2.2505,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:41:29,0.0000000,0.0000,0.0000,0,Close
33,1,1,Rest,00:16:00,00:16:00,0.0000,2.2505,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:41:59,0.0000000,0.0000,0.0000,0,Close
34,1,1,Rest,00:16:30,00:16:30,0.0000,2.2505,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:42:29,0.0000000,0.0000,0.0000,0,Close
