DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(mA),Voltage(V),Capacity(mAh),Spec. Cap.(mAh/g),Chg. Cap.(mAh),Chg. Spec. Cap.(mAh/g),DChg. Cap.(mAh),DChg. Spec. Cap.(mAh/g),Energy(mWh),Spec. Energy(mWh/g),Chg. Energy(mWh),Chg. Spec. Energy(mWh/g),DChg. Energy(mWh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mO),Module start-stop switch
1,1,1,Rest,00:00:00,00:00:00,0.0000,2.1519,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:42:19,0.0000000,0.0000,0.0000,0,Close
2,1,1,Rest,00:00:30,00:00:30,0.0000,2.1519,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:42:48,0.0000000,0.0000,0.0000,0,Close
3,1,1,Rest,00:01:00,00:01:00,0.0000,2.1517,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:43:18,0.0000000,0.0000,0.0000,0,Close
4,1,1,Rest,00:01:30,00:01:30,0.0000,2.1516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:43:48,0.0000000,0.0000,0.0000,0,Close
5,1,1,Rest,00:02:00,00:02:00,0.0000,2.1516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:44:18,0.0000000,0.0000,0.0000,0,Close
6,1,1,Rest,00:02:30,00:02:30,0.0000,2.1515,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:44:48,0.0000000,0.0000,0.0000,0,Close
7,1,1,Rest,00:03:00,00:03:00,0.0000,2.1514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:45:18,0.0000000,0.0000,0.0000,0,Close
8,1,1,Rest,00:03:30,00:03:30,0.0000,2.1513,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:45:48,0.0000000,0.0000,0.0000,0,Close
9,1,1,Rest,00:04:00,00:04:00,0.0000,2.1513,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:46:18,0.0000000,0.0000,0.0000,0,Close
10,1,1,Rest,00:04:30,00:04:30,0.0000,2.1513,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:46:48,0.0000000,0.0000,0.0000,0,Close
11,1,1,Rest,00:05:00,00:05:00,0.0000,2.1511,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:47:18,0.0000000,0.0000,0.0000,0,Close
12,1,1,Rest,00:05:30,00:05:30,0.0000,2.1511,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:47:48,0.0000000,0.0000,0.0000,0,Close
13,1,1,Rest,00:06:00,00:06:00,0.0000,2.1510,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:48:18,0.0000000,0.0000,0.0000,0,Close
14,1,1,Rest,00:06:30,00:06:30,0.0000,2.1509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:48:48,0.0000000,0.0000,0.0000,0,Close
15,1,1,Rest,00:07:00,00:07:00,0.0000,2.1509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:49:18,0.0000000,0.0000,0.0000,0,Close
16,1,1,Rest,00:07:30,00:07:30,0.0000,2.1508,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:49:48,0.0000000,0.0000,0.0000,0,Close
17,1,1,Rest,00:08:00,00:08:00,0.0000,2.1508,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:50:18,0.0000000,0.0000,0.0000,0,Close
18,1,1,Rest,00:08:30,00:08:30,0.0000,2.1507,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:50:48,0.0000000,0.0000,0.0000,0,Close
19,1,1,Rest,00:09:00,00:09:00,0.0000,2.1506,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:51:18,0.0000000,0.0000,0.0000,0,Close
20,1,1,Rest,00:09:30,00:09:30,0.0000,2.1506,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:51:48,0.0000000,0.0000,0.0000,0,Close
21,1,1,Rest,00:10:00,00:10:00,0.0000,2.1504,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:52:18,0.0000000,0.0000,0.0000,0,Close
22,1,1,Rest,00:10:30,00:10:30,0.0000,2.1504,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:52:48,0.0000000,0.0000,0.0000,0,Close
23,1,1,Rest,00:11:00,00:11:00,0.0000,2.1503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:53:18,0.0000000,0.0000,0.0000,0,Close
24,1,1,Rest,00:11:30,00:11:30,0.0000,2.1503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:53:48,0.0000000,0.0000,0.0000,0,Close
25,1,1,Rest,00:12:00,00:12:00,0.0000,2.1503,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:54:18,0.0000000,0.0000,0.0000,0,Close
26,1,1,Rest,00:12:30,00:12:30,0.0000,2.1502,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-09-19 15:54:48,0.0000000,0.0000,0.0000,0,Close
